Comp. Sc. I,006-1016,NB-202
Comp. Sc. I,1017-1049,NB-203
Comp. Sc. I,1050-1093,NB-204
Comp. Sc. I,1094-1135,NB-205
Comp. Sc. I,1136-1166,NB-208 A
Comp. Sc. I,1167-1210,NB-209
Comp. Sc. I,1211-1243,NB-210
Comp. Sc. I,1244-1277,NB-213
Comp. Sc. I,1278-3997,NB-214
Comp. Sc. KSK I,All Students,NB-101
Comp. Sc. O Level I,All Students,NB-207 A
English Lit. I,695-1996,NB-113
English Lit. I,1998-4576,NB-114
Arabic I,All Students,Basement Hall
Persian I,All Students,Basement Hall
Punjabi I,All Students,Basement Hall
Principles of Economics I,All Students,Basement Hall
English II,001-202,Basement Hall
English II,203-238,NB-101
English II,239-273,NB-102
English II,274-307,NB-103
English II,308-342,NB-105
English II,343-363,NB-106
English II,364-516,NB-107
English II,517-558,NB-113
English II,559-600,NB-114
English II,601-637,NB-201 B
English II,638-670,NB-202
English II,671-703,NB-203
English II,704-745,NB-204
English II,746-786,NB-205
English II,787-813,NB-206
English II,814-837,NB-206 A
English II,838-868,NB-208 A
English II,869-1038,NB-209
English II,1039-1068,NB-210
English II,1069-1110,NB-213
English II,1111-1153,NB-214
English II,1154-1175,NB-301
English II,1176-1214,NB-302
English II,1215-1256,NB-303
English II,1258-1305,NB-304
English II,1306-1524,NB-305
English II,1525-1565,NB-306
English II,1566-1595,NB-307
English II,1596-1719,NB-310
English II,1720-1907,NB-311
English II,1908-1954,NB-312
English II,1955-2002,NB-313
English II,2004-2046,NB-314
English II,2047-2095,NB-315
English II,2096-3757,NB-316

Comp. Sc. I,274-3902,NB-209
Comp. Sc. I,3903-3938,NB-210
Comp. Sc. I,3939-3983,NB-213
Comp. Sc. I,3984-4029,NB-214
Comp. Sc. I,4030-4054,NB-301
Comp. Sc. I,4055-4095,NB-302
Comp. Sc. I,4096-4138,NB-303
Comp. Sc. I,4139-4182,NB-304
Comp. Sc. I,4183-4265,NB-305
Comp. Sc. I,4266-5059,NB-306
Comp. Sc. I,5301-5320,NB-307
Principles of Economics I,439-4347,NB-310
Principles of Economics I,4351-4384,NB-311
Principles of Economics I,4385-4540,NB-312
English Lit. I,428-4547,NB-319
English Lit. I,4548-4648,NB-320
English II,774-3175,Basement Hall
English II,3176-3218,NB-101
English II,3219-3257,NB-102
English II,3258-3323,NB-103
English II,3324-3357,NB-105
English II,3358-3379,NB-106
English II,3380-3406,NB-107
English II,3407-3449,NB-113
English II,3451-3500,NB-114
English II,3501-3607,NB-201 B
English II,3608-3640,NB-202
English II,3641-3674,NB-203
English II,3675-3716,NB-204
English II,3717-3758,NB-205
English II,3759-3787,NB-206
English II,3788-3816,NB-208 A

English I,001-218,Basement Hall
English I,219-248,NB-101
English I,249-286,NB-102
English I,287-320,NB-103
English I,321-359,NB-105
English I,360-381,NB-106
English I,382-512,NB-107
English I,513-554,NB-113
English I,555-597,NB-114
English I,598-634,NB-201 B
English I,635-668,NB-202
English I,669-701,NB-203
English I,702-747,NB-204
English I,748-789,NB-205
English I,790-817,NB-206
English I,818-842,NB-206 A
English I,843-874,NB-208 A
English I,875-1041,NB-209
English I,1042-1071,NB-210
English I,1072-1114,NB-213
English I,1115-1157,NB-214
English I,1158-1179,NB-301
English I,1180-1221,NB-302
English I,1222-1267,NB-303
English I,1268-1529,NB-304
English I,1530-1708,NB-305
English I,1710-1754,NB-306
English I,1755-1787,NB-307
English I,1788-1909,NB-310
English I,1910-1950,NB-311
English I,1951-1999,NB-312
English I,2000-2046,NB-313
English I,2047-2089,NB-314
English I,2090-2134,NB-315
English I,2135-3552,NB-316
English I,3553-4576,NB-318
English KSK I,1527-4073,Fazal-e-Hussain Reading Room
English O Level I,All Students,NB-207 A
Comp. Sc. II,519-1157,Basement Hall
Comp. Sc. II,1158-1193,NB-101
Comp. Sc. II,1194-1229,NB-102
Comp. Sc. II,1230-1265,NB-103
Comp. Sc. II,1266-1309,NB-105
Comp. Sc. II,1310-3431,NB-107
Arabic II,All Students,NB-106
French II,All Students,NB-106
Punjabi II,All Students,NB-106
Urdu Advance II,All Students,NB-106
English Lit. II,002-1997,NB-113
English Lit. II,1999-3385,NB-114
Principles of Banking II,1041-1545,NB-204
Principles of Banking II,1546-1589,NB-213
Principles of Banking II,1590-3757,NB-214

English I,274-2704,NB-102
English I,2707-3033,NB-103
English I,3034-3071,NB-105
English I,3072-3094,NB-106
English I,3095-3122,NB-107
English I,3123-3171,NB-113
English I,3172-3218,NB-114
English I,3219-3256,NB-201 B
English I,3257-3295,NB-202
English I,3296-3332,NB-203
English I,3333-3375,NB-204
English I,3376-3417,NB-205
English I,3418-3450,NB-206
English I,3451-3481,NB-206 A
English I,3482-3513,NB-208 A
English I,3514-3578,NB-209
English I,3579-3607,NB-210
English I,3608-3651,NB-213
English I,3652-3940,NB-214
English I,3941-3963,NB-301
English I,3964-4005,NB-302
English I,4007-4052,NB-303
English I,4054-4094,NB-304
English I,4095-4137,NB-305
English I,4138-4181,NB-306
English I,4182-4212,NB-307
English I,4213-4261,NB-310
English I,4262-4302,NB-311
English I,4303-4355,NB-312
English I,4356-4403,NB-313
English I,4404-4546,NB-314
English I,4547-4593,NB-315
English I,4594-5018,NB-316
English I,5019-1216,NB-318
Comp. Sc. II,1936-3775,Basement Hall
Comp. Sc. II,3777-3816,NB-101

Business Math I,All Students,Basement Hall
Islamic Studies (Ele) I,All Students,Basement Hall
Fine Arts I,All Students,Basement Hall
Geog I,1901-2006,NB-101
Geog I,2007-2068,NB-113
Geog I,2069-4520,NB-114
Business Stat II,1041-1545,NB-113
Business Stat II,1546-1589,NB-114
Business Stat II,1590-3757,NB-101
Islamic Studies (Ele) II,All Students,NB-209
Geog II,1037-1986,NB-204
Geog II,1988-3384,NB-205
Fine Arts II,All Students,NB-105

Business Math I,439-4353,1 NB-213 2
Business Math I,4354-4383,1 NB-214 2
Business Math I,4384-4540,NB-302
Islamic Studies (Ele) I,All Students,NB-303

Math I,006-696,Basement Hall
Math I,697-738,NB-101
Math I,739-775,NB-102
Math I,776-809,NB-103
Math I,810-843,NB-105
Math I,845-866,NB-106
Math I,867-1017,NB-107
Math I,1018-1059,NB-113
Math I,1060-1102,NB-114
Math I,1103-1140,NB-201 B
Math I,1141-1173,NB-202
Math I,1174-1208,NB-203
Math I,1209-1253,NB-204
Math I,1256-1516,NB-205
Math I,1518-1552,NB-206
Math I,1553-1928,NB-206 A
Math I,1930-3444,NB-208 A
Math I,3460-4309,NB-209
Math KSK I,All Students,NB-315
Biology I,001-033,NB-210
Biology I,034-079,NB-213
Biology I,080-124,NB-214
Biology I,125-166,NB-302
Biology I,167-211,NB-303
Biology I,212-254,NB-304
Biology I,255-300,NB-305
Biology I,301-346,NB-306
Biology I,347-378,NB-307
Biology I,379-3972,NB-310
Biology KSK I,All Students,NB-314
Philosophy I,All Students,NB-311
Edu I,All Students,NB-312
Bio O Level I,All Students,NB-207 A
Math O Level I,All Students,NB-207 A
Math II,120-702,Basement Hall
Math II,703-740,NB-101
Math II,741-777,NB-102
Math II,778-810,NB-103
Math II,811-843,NB-105
Math II,844-865,NB-106
Math II,866-1018,NB-107
Math II,1019-1062,NB-113
Math II,1063-1104,NB-114
Math II,1105-1142,NB-201 B
Math II,1143-1175,NB-202
Math II,1176-1208,NB-203
Math II,1209-1251,NB-204
Math II,1252-1305,NB-205
Math II,1306-1708,NB-206
Math II,1709-1735,NB-206 A
Math II,1736-3431,NB-209
Biology II,001-031,NB-210
Biology II,032-073,NB-213
Biology II,074-115,NB-214
Biology II,116-155,NB-302
Biology II,156-200,NB-303
Biology II,201-239,NB-304
Biology II,240-281,NB-305
Biology II,282-322,NB-306
Biology II,323-355,NB-307
Biology II,356-3166,NB-310
H. & P. Edu. II,1282-2036,NB-311
H. & P. Edu. II,2041-2121,NB-312

Math I,274-3308,NB-101
Math I,3309-3347,NB-102
Math I,3348-3380,NB-103
Math I,3381-3415,NB-105
Math I,3416-3440,NB-106
Math I,3441-3474,NB-107
Math I,3475-3520,NB-113
Math I,3521-3582,NB-114
Math I,3583-3621,NB-201 B
Math I,3622-3656,NB-202
Math I,3657-3936,NB-203
Math I,3937-3981,NB-204
Math I,3982-4024,NB-205
Math I,4025-4055,NB-206
Math I,4056-4081,NB-206 A
Math I,4082-4112,NB-208 A
Math I,4113-4159,NB-209
Math I,4160-4189,NB-210
Math I,4190-4238,NB-213
Math I,4239-4288,NB-214
Math I,4289-5320,NB-302
Biology I,1504-3039,NB-303
Biology I,3040-3085,NB-304
Biology I,3086-3131,NB-305
Biology I,3132-3178,NB-306
Biology I,3179-3210,NB-307
Biology I,3211-3251,NB-310
Biology I,3252-3296,NB-311
Biology I,3298-5019,NB-312
Biology II,774-3197,Basement Hall
Biology II,3198-3250,NB-313
Biology II,3251-3749,NB-319
Math II,1712-3336,NB-314
Math II,3337-3388,NB-315
Math II,3389-3437,NB-316
Math II,3438-3491,NB-318
Math II,3492-3521,NB-320
Math II,3522-3702,Fazal-e-Hussain Reading Room
Math II,3703-3752,CNLT
Math II,3753-3785,Chem Lect Room.2
Math II,3786-3816,Chem Lect Room.3

